,id,title,titleKana,watchersCount,seasonYear
0,V29yay01MDM0,ポケットモンスター ミュウツー我ハココニ在リ MEWTWO SAGA,ぽけっともんすたー みゅうつーわれはここにあり みゅうつーさーが,673,2000
1,V29yay0xMTIy,星界の紋章 特別編,,86,2000
2,V29yay00NTk5,Di Gi Charat クリスマススペシャル,でじきゃらっとくりすますすぺしゃる,121,2000
3,V29yay0yMjM2,モンスターファーム 伝説への道,もんすたーふぁーむれじぇんどへのみち,129,2000
4,V29yay0xOTQz,へろへろくん,,80,2000
5,V29yay0xMTIw,星界の断章 誕生,せいかいのだんしょう たんじょう,78,2000
6,V29yay0yODQ=,OHスーパーミルクチャン,おーすーぱーみるくちゃん,121,2000
7,V29yay0yNDU2,六門天外モンコレナイト,,83,2000
8,V29yay00NTk4,Di Gi Charat サマースペシャル2000,でじきゃらっとさまーすぺしゃるにせん,132,2000
9,V29yay0yMjE2,女神候補生,,59,2000
10,V29yay05Mw==,妖しのセレス,あやしのせれす,74,2000
11,V29yay0xODQ4,BRIGADOON まりんとメラン,,197,2000
12,V29yay0xMTE4,星界の戦旗,せいかいのせんき,126,2000
13,V29yay04MTk=,サクラ大戦 TV,さくらたいせん,610,2000
14,V29yay0xOTg5,ポピーザぱフォーマー,,266,2000
15,V29yay00ODI=,GEAR戦士電童,ぎあふぁいたーでんどう,213,2000
16,V29yay0xNDUx,ドキドキ伝説 魔法陣グルグル,どきどきでんせつまほうじんぐるぐる,296,2000
17,V29yay0xOTk=,うちゅう人 田中太郎,,60,2000
18,V29yay0xNzg=,ヴァンドレッド,ばんどれっど,167,2000
19,V29yay0yMTgx,無敵王トライゼノン,むてきおうとらいぜのん,76,2000
20,V29yay0zMjE=,おジャ魔女どれみ,おじゃまじょどれみしゃーぷっ,1035,2000
21,V29yay01Mzg=,勝負師伝説 哲也,ぎゃんぶらーでんせつてつや,213,2000
22,V29yay0xNjA1,はじめの一歩,はじめのいっぽ,373,2000
23,V29yay0yMzc4,ルパン三世 1マネーウォーズ,るぱんさんせいわんだらーまねーうぉーず,238,2000
24,V29yay0xNTg2,HAND MAID メイ,はんどめいどめい,189,2000
25,V29yay0xNDQ0,トランスフォーマー カーロボット,とらんすふぉーまーかーろぼっと,62,2000
26,V29yay0xMjAz,だぁだぁだぁ,だぁだぁだぁ,443,2000
27,V29yay0yMDUz,マシュランボー,,117,2000
28,V29yay0yMDQ0,マイアミガンズ,,64,2000
29,V29yay00ODA=,風まかせ月影蘭,かぜまかせつきかげらん,62,2000
30,V29yay0yMjcw,闇の末裔,やみのまつえい,78,2000
31,V29yay0yMzQ3,ラブひな,らぶひな,527,2000
32,V29yay0xMDA2,ストレンジドーン,すとれんじどーん,59,2000
33,V29yay05Nzg=,真女神転生デビチル,しんめがみてんせいでびちる,185,2000
34,V29yay03NDc=,コレクターユイ第2期,,227,2000
35,V29yay0xNTMw,ニャニがニャンだーニャンダーかめん,にゃにがにゃんだーにゃんだーかめん,132,2000
36,V29yay00MzY=,学校の怪談,がっこうのかいだん,641,2000
37,V29yay0xNTI0,NieA_7,にああんだーせぶん,281,2000
38,V29yay00NTY=,機巧奇傳ヒヲウ戦記,からくりきでんひおうせんき,60,2000
39,V29yay0xNjU=,犬夜叉,いぬやしゃ,1817,2000
40,V29yay02OTA=,ゲートキーパーズ,げーときーぱーず,196,2000
41,V29yay0xOTEw,ブギーポップは笑わない Boogiepop Phantom,ぶぎーぽっぷはわらわない,370,2000
42,V29yay02OTg=,幻想魔伝 最遊記,げんそうまでん さいゆうき,429,2000
43,V29yay04NA==,アルジェントソーマ,あるじぇんとそうま,161,2000
44,V29yay0yMjEx,メダロット 魂,めだろっとだましい,219,2000
45,V29yay0xNDI3,とっとこハム太郎,とっとこはむたろう,782,2000
46,V29yay0xMzUz,デジモンアドベンチャー02,,1116,2000
47,V29yay0yMzA0,遊戯王デュエルモンスターズ,ゆうぎおうでゅえるもんすたーず,1232,2000
48,V29yay05MTM=,ジーンシャフト,じーんしゃふと,58,2001
49,V29yay03OTQ=,SAMURAI GIRL　リアルバウトハイスクール,,47,2001
50,V29yay0xODYz,PROJECT ARMS　The 2nd Chapter,,48,2001
51,V29yay0xMTE5,星界の戦旗　特別篇,,82,2001
52,V29yay0yNjA=,X エックス,えっくす,128,2001
53,V29yay03MDQ=,激闘クラッシュギアTURBO,げきとうくらっしゅぎあたーぼ,132,2001
54,V29yay0xNDA5,Dr リンにきいてみて,,181,2001
55,V29yay0xNTA1,ナジカ電撃作戦,なじかでんげきさくせん,86,2001
56,V29yay0yMTE3,魔法戦士リウイ,,73,2001
57,V29yay03MTk=,こげぱん,,78,2001
58,V29yay03NDY=,コメットさん,こめっとさん,150,2001
59,V29yay0xNDAw,電脳冒険記ウェブダイバー,でんのうぼうけんきうぇぶだいばー,142,2001
60,V29yay03ODY=,鋼鉄天使くるみ2式,こうてつてんしくるみにしき,86,2001
61,V29yay00NjAy,Di Gi Charat なつやすみスペシャル,,112,2001
62,V29yay0xODYy,PROJECT ARMS,ぷろじぇくと あーむず,83,2001
63,V29yay02NDI=,グラップラー刃牙 最大トーナメント編,ぐらっぷらーばき,245,2001
64,V29yay0yMzg1,ルパン三世 アルカトラズコネクション,るぱんさんせいあるかとらずこねくしょん,279,2001
