,name,nameKana
75,梶裕貴,かじゆうき
76,花澤香菜,はなざわかな
77,東條加那子,とうじょうかなこ
80,村瀬歩,むらせあゆむ
81,平田広明,ひらたひろあき
82,浪川大輔,なみかわだいすけ
83,工藤晴香,くどうはるか
84,種田梨沙,たねだりさ
85,遠藤綾,えんどうあや
138,前田愛,まえだあい
142,久川綾,ひさかわあや
143,釘宮理恵,くぎみやりえ
204,伊藤静,いとうしずか
210,土田大,つちだひろし
211,富樫美鈴,とがしみすず
212,阿澄佳奈,あすみかな
213,甲斐田裕子,かいだゆうこ
214,宮野真守,みやのまもる
217,寺島拓篤,てらしまたくま
218,中原麻衣,なかはら まい
219,立花慎之介,たちばなしんのすけ
270,野川さくら,のがわさくら
272,名塚佳織,なづかかおり
274,かないみか,かないみか
275,真田アサミ,さなだあさみ
277,松山鷹志,まつやまたかし
278,檜山修之,ひやまのぶゆき
279,堀江由衣,ほりえゆい
280,鈴村健一,すずむらけんいち
281,千葉紗子,ちばさえこ
282,広橋涼,ひろはしりょう
283,小野大輔,おのだいすけ
285,白石涼子,しらいしりょうこ
286,山本和臣,やまもとかずとみ
287,鳥海浩輔,とりうみこうすけ
288,佐藤利奈,さとうりな
289,田村ゆかり,たむらゆかり
290,金元寿子,かねもとひさこ
291,ゆかな,ゆかな
292,櫻井孝宏,さくらい たかひろ
293,斎藤千和,さいとう ちわ
294,花江夏樹,はなえなつき
295,上坂すみれ,うえさかすみれ
296,藤原啓治,ふじわらけいじ
297,三森すずこ,みもりすずこ
298,渕上舞,ふちがみまい
299,内田真礼,うちだまあや
300,一条和矢,いちじょうかずや
301,本多真梨子,ほんだまりこ
303,三木眞一郎,みきしんいちろう
304,木村良平,きむらりょうへい
305,西明日香,にしあすか
306,内山夕実,うちやまゆみ
307,田丸篤志,たまるあつし
309,杉田智和,すぎたともかず
311,子安武人,こやすたけひと
312,戸松遥,とまつはるか
313,丹下桜,たんげさくら
314,中村悠一,なかむらゆういち
315,巽悠衣子,たつみゆいこ
316,雨宮天,あまみやそら
318,斉藤壮馬,さいとうそうま
319,大西沙織,おおにしさおり
320,諏訪部順一,すわべじゅんいち
324,松岡禎丞,まつおか よしつぐ
326,大川透,おおかわとおる
328,新垣樽助,しんがきたるすけ
332,小笠原早紀,おがさわらさき
335,木内秀信,きうちひでのぶ
336,遊佐浩二,ゆさこうじ
338,豊口めぐみ,とよぐちめぐみ
339,置鮎龍太郎,おきあゆりょうたろう
340,井上麻里奈,いのうえまりな
342,田辺留依,たなべるい
343,東山奈央,とうやま なお
344,早見沙織,はやみさおり
346,佐藤聡美,さとうさとみ
347,斉藤佑圭,さいとうゆか
366,川澄綾子,かわすみあやこ
371,柚木涼香,ゆずきりょうか
372,坂本真綾,さかもとまあや
373,川田紳司,かわだしんじ
375,桑島法子,くわしまほうこ
435,下屋則子,したやのりこ
442,入野自由,いりのみゆ
454,津田健次郎,つだけんじろう
455,西山宏太朗,にしやまこうたろう
456,山路和弘,やまじかずひろ
458,江口拓也,えぐちたくや
492,大原さやか,おおはらさやか
494,吉野裕行,よしのひろゆき
498,谷山紀章,たにやまきしょう
510,生天目仁美,なばためひとみ
512,菅生隆之,すごうたかゆき
514,黒田崇矢,くろだたかや
590,沢城みゆき,さわしろみゆき
592,石田彰,いしだあきら
601,鈴木達央,すずきたつひさ
632,篠原恵美,しのはらえみ
635,島田敏,しまだびん
636,小山力也,こやまりきや
638,チョー,ちょー
640,佐々木望,ささきのぞむ
641,堀江美都子,ほりえみつこ
642,屋良有作,やらゆうさく
823,加隈亜衣,かくまあい
825,小林裕介,こばやしゆうすけ
829,石上静香,いしがみしずか
830,佐倉綾音,さくらあやね
831,茅野愛衣,かやのあい
832,赤﨑千夏,あかさきちなつ
834,髙橋ミナミ,たかはしみなみ
837,久野美咲,くのみさき
838,石谷春貴,いしやはるき
839,瀬戸麻沙美,せとあさみ
904,間宮くるみ,まみやくるみ
910,小林由美子,こばやしゆみこ
916,勝杏里,かつあんり
937,真野あゆみ,まのあゆみ
938,大塚芳忠,おおつかほうちゅう
939,水瀬いのり,みなせいのり
940,倉持若菜,くらもちわかな
941,神谷浩史,かみやひろし
942,内田雄馬,うちだゆうま
972,水橋かおり,みずはしかおり
975,豊永利行,とよながとしゆき
981,関智一,せき ともかず
982,田中秀幸,たなかひでゆき
983,関俊彦,せきとしひこ
984,堀内賢雄,ほりうちけんゆう
992,立木文彦,たちきふみひこ
994,森川智之,もりかわとしゆき
995,石井康嗣,いしいこうじ
996,田中敦子,たなかあつこ
997,龍田直樹,たつたなおき
1006,千葉翔也,ちばしょうや
1007,鬼頭明里,きとう あかり
1008,逢坂良太,おおさかりょうた
1009,M・A・O,まお
1010,日野聡,ひのさとし
1011,小松未可子,こまつみかこ
1012,梅原裕一郎,うめはらゆういちろう
1013,小原好美,こはらこのみ
1015,日高里菜,ひだかりな
1016,久保ユリカ,くぼゆりか
1018,水中雅章,みずなかまさあき
1019,竹達彩奈,たけたつ あやな
1145,松来未祐,まつきみゆ
1158,くまいもとこ,くまいもとこ
1160,能登麻美子,のとまみこ
1162,真殿光昭,まどのみつあき
1166,沢海陽子,そうみようこ
1189,島﨑信長,しまざきのぶなが
1191,小野友樹,おのゆうき
1192,森田成一,もりたまさかず
1193,下野紘,しものひろ
1194,羽多野渉,はたの わたる
1197,東地宏樹,とうちひろき
1201,小野賢章,おのけんしょう
1206,山口立花子,やまぐちりかこ
1209,細谷佳正,ほそや よしまさ
1210,岡本信彦,おかもとのぶひこ
1240,興津和幸,おきつかずゆき
1241,長谷川育美,はせがわいくみ
1242,稗田寧々,ひえだねね
1243,間島淳司,まじまじゅんじ
1247,茶風林,ちゃふうりん
1249,安元洋貴,やすもとひろき
1251,橋本ちなみ,はしもとちなみ
1254,桃月なしこ,ももつきなしこ
1305,福原遥,ふくはらはるか
1306,渡部紗弓,わたべさゆみ
1308,前野智昭,まえのともあき
1313,咲野俊介,さくやしゅんすけ
1316,飛田展男,とびたのぶお
1326,高橋李依,たかはしりえ
1329,新井里美,あらいさとみ
1331,天﨑滉平,あまさきこうへい
1333,田中あいみ,たなかあいみ
1336,村川梨衣,むらかわりえ
1337,高野麻里佳,こうのまりか
1356,日笠陽子,ひかさようこ
1358,上田麗奈,うえだれいな
1393,山口勝平,やまぐちかっぺい
1395,高橋広樹,たかはしひろき
1398,平川大輔,ひらかわ だいすけ
1481,石見舞菜香,いわみまなか
1482,潘めぐみ,はんめぐみ
1483,古川慎,ふるかわまこと
1485,種﨑敦美,たねざきあつみ
1492,直田姫奈,すぐたひな
1493,石毛翔弥,いしげしょうや
1495,羊宮妃那,ようみやひな
1566,田中理恵 (声優),たなかりえ
1571,伊藤かな恵,いとうかなえ
1573,加藤英美里,かとうえみり
1645,林原めぐみ,はやしばらめぐみ
1647,小桜エツコ,こざくらえつこ
1668,山寺宏一,やまでらこういち
1795,上村祐翔,うえむらゆうと
1797,林勇,はやしゆう
1798,内山昂輝,うちやまこうき
1801,諸星すみれ,もろほしすみれ
1803,江川央生,えがわひさお
1806,野島健児,のじまけんじ
1807,笠間淳,かさまじゅん
1815,石川界人,いしかわかいと
1819,増田俊樹,ますだとしき
1861,山本麻里安,やまもとまりあ
1875,折笠富美子,おりかさふみこ
1876,金田朋子,かねだともこ
1877,井上喜久子,いのうえきくこ
1886,新谷真弓,しんたにまゆみ
1949,村田太志,むらたたいし
1963,河西健吾,かわにしけんご
1965,山下大輝,やましただいき
1967,濱野大輝,はまのだいき
1975,柿原徹也,かきはらてつや
1976,蒼井翔太,あおいしょうた
2051,島袋美由利,しまぶくろみゆり
2053,長縄まりあ,ながなわまりあ
2054,篠原侑,ささはらゆう
2055,内山茉莉,うちやままり
2058,小澤亜李,おざわあり
2059,井口裕香,いぐちゆか
2065,青山吉能,あおやまよしの
2066,三宅健太,みやけけんた
2113,水樹奈々,みずきなな
2122,後藤沙緒里,ごとうさおり
2124,植田佳奈,うえだかな
2129,岩田光央,いわたみつお
2133,乃村健次,のむらけんじ
2135,小清水亜美,こしみず あみ
2154,星野貴紀,ほしのたかのり
2243,水島大宙,みずしま たかひろ
2244,清水愛,しみずあい
2311,本泉莉奈,ほんいずみりな
2314,市川蒼,いちかわあおい
2318,悠木碧,ゆうき あおい
2319,中島ヨシキ,なかじまよしき
2335,武内駿輔,たけうちしゅんすけ
2339,阿部敦,あべあつし
2348,石井マーク,いしいまーく
2382,福山潤,ふくやまじゅん
2384,梅田修一朗,うめだしゅういちろう
2385,夏吉ゆうこ,なつよしゆうこ
2387,佐藤拓也,さとうたくや
2389,森永千才,もりながちとせ
2393,園崎未恵,そのざきみえ
2432,後藤邑子,ごとうゆうこ
2433,伊藤美紀,いとうみき
2434,ひと美,ひとみ
2440,小杉十郎太,こすぎじゅうろうた
2452,嶋村侑,しまむらゆう
2454,大塚明夫,おおつかあきお
2456,阿座上洋平,あざかみようへい
2463,小市眞琴,こいちまこと
2484,椎名へきる,しいなへきる
2485,佐久間レイ,さくまれい
2518,飯田里穂,いいだりほ
2521,小泉萌香,こいずみもえか
2531,酒井広大,さかいこうだい
2539,村上まなつ,むらかみまなつ
2699,三石琴乃,みついしことの
2702,小笠原亜里沙,おがさわらありさ
2708,大村歌奈,おおむらかな
2712,古川登志夫,ふるかわとしお
2776,米澤円,よねざわまどか
2789,てらそままさき,てらそままさき
2794,原紗友里,はらさゆり
2802,KENN,けん
2863,稲田徹,いなだてつ
2866,小西克幸,こにしかつゆき
2867,松風雅也,まつかぜまさや
2868,高橋良輔 (俳優),たかはしりょうすけ
2869,広瀬裕也,ひろせゆうや
2870,宮本侑芽,みやもとゆめ
2875,緑川光,みどりかわひかる
3003,木村昴,きむらすばる
3004,宮崎遊,みやざきゆう
3051,森なな子,もりななこ
3063,石塚運昇,いしづかうんしょう
3065,冬馬由美,とうまゆみ
3068,桑谷夏子,くわたになつこ
3108,内田直哉,うちだなおや
3110,浅野まゆみ,あさのまゆみ
3111,河原木志穂,かわらぎしほ
3114,宮田幸季,みやたこうき
3115,五十嵐裕美,いがらしひろみ
3129,ゆきのさつき,ゆきのさつき
3153,松井菜桜子,まついなおこ
3155,新谷良子,しんたにりょうこ
3157,若山詩音,わかやましおん
3160,中井和哉,なかいかずや
